cid,text,time,author,channel,votes,photo,heart,replies_count,video_id,video_title,video_published_at
UgzyMOqhnSPELhsEqt14AaABAg,"Основа рациона 🎉  спасибо! <br>Нашла печень трески классную в рыбном магазине у дома, в стекле",2025-01-28T15:29:44Z,@springmelody916,UCtZUZtjINKL0I2wrttD6p0w,0,https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s48-c-k-c0x00ffffff-no-rj,False,1,pIYcgDZJ-0A,5 ДОСТУПНЫХ И ПОЛЕЗНЫХ продуктов на ЗАВТРАК!Добавь эти продукты в свой рацион! #докторлиза #nikolife,2025-01-18T15:01:05Z
UgydlQC5BZX1XSrBI_x4AaABAg,"Спасибо, Лиза 😻перехожу на топленое масло и овощи на гриле 😋",2025-01-18T16:36:04Z,@СветланаЖуравлева-х2м,UCRkZPdZ15H--6ywx4mEFl-A,2,https://yt3.ggpht.com/ytc/AIdro_lZeiykQu3SJKcvUV9PRABECQK7Ir-eL37Zd_EdF9L6kcxa6BHZjhuo1kKFwGtzg-TeAhc=s48-c-k-c0x00ffffff-no-rj,False,0,pIYcgDZJ-0A,5 ДОСТУПНЫХ И ПОЛЕЗНЫХ продуктов на ЗАВТРАК!Добавь эти продукты в свой рацион! #докторлиза #nikolife,2025-01-18T15:01:05Z
UgyWEz_a5x3IyBC0owx4AaABAg,"Спасибо за видео,доктор, попробуем термически обработанные овощи добавить в завтрак",2025-01-18T15:56:28Z,@theilyaefimov,UCTZ9c0lYLm1nVzor9iJhuKg,2,https://yt3.ggpht.com/ytc/AIdro_nb_izmwfFmt9UWr6nV1__tYmSQ_ydq0kXeGwpNDyGfxsA=s48-c-k-c0x00ffffff-no-rj,False,0,pIYcgDZJ-0A,5 ДОСТУПНЫХ И ПОЛЕЗНЫХ продуктов на ЗАВТРАК!Добавь эти продукты в свой рацион! #докторлиза #nikolife,2025-01-18T15:01:05Z
Ugx4PiZXlp65zoSfEfV4AaABAg,Мы налегаем на редьку и капусту зимой 😍,2025-01-18T15:18:44Z,@СофьяДробышева-п9б,UCsaSO2S1ePmJL9IF7KKDbBg,2,https://yt3.ggpht.com/ytc/AIdro_mnL4OPZDwV0ZvwJiguMBZjFKDItNkMkZtzfc4GW9JuiFYMhEu_vCOr9oFwC0xho5j1CpY=s48-c-k-c0x00ffffff-no-rj,False,0,pIYcgDZJ-0A,5 ДОСТУПНЫХ И ПОЛЕЗНЫХ продуктов на ЗАВТРАК!Добавь эти продукты в свой рацион! #докторлиза #nikolife,2025-01-18T15:01:05Z
UgytW-h8n8GN6_vVXlR4AaABAg,"Вау 🎉🎉🎉<br><br>Я буду включать печень треску побольше 😎<br><br>Так классно, что не надо есть много свежих овощей 🙏зимой. Меня совсем на них не тянет",2025-01-18T15:16:36Z,@nikolife_nutrition,UCmefq5JW-K3Nt1gMsAkpysA,4,https://yt3.ggpht.com/jiysXBdI3R9YTep_WDiDdfKWguXUxa8F7kbCSDa8ZbFzVsJvPJpHqIsAkb07lpugExrVIZnezA=s48-c-k-c0x00ffffff-no-rj,False,0,pIYcgDZJ-0A,5 ДОСТУПНЫХ И ПОЛЕЗНЫХ продуктов на ЗАВТРАК!Добавь эти продукты в свой рацион! #докторлиза #nikolife,2025-01-18T15:01:05Z
UgzcrOw0ziRXZXz90Rx4AaABAg,Забираю на этот год информацию про жиры и разные виды рыб. Буду чаще их готовить 😊,2025-01-18T15:10:03Z,@ВиксСмолякова,UCw2D47Jy-pjgf1vySV_BalA,2,https://yt3.ggpht.com/ytc/AIdro_myBJazhnvw4Uk8XJ6hN28r0uPDWqECyembfsXApsTuz4o=s48-c-k-c0x00ffffff-no-rj,False,0,pIYcgDZJ-0A,5 ДОСТУПНЫХ И ПОЛЕЗНЫХ продуктов на ЗАВТРАК!Добавь эти продукты в свой рацион! #докторлиза #nikolife,2025-01-18T15:01:05Z
UgyVg4mGb2lhQA4wLo54AaABAg,Стоять могу 😜,2025-01-17T15:14:54Z,@nikolife_soul,UCETavPymqO45DF7iyeIAlCA,1,https://yt3.ggpht.com/ZiwR9XUJQr29y-u-2aqDj81zjgAuXbXMEVr0vAm7Ntxuni5plQt0F07imGWtmfXcPOQMgHhdoQ=s48-c-k-c0x00ffffff-no-rj,False,1,4K7kSQxVF6E,БЕСПЛАТНАЯ ДИАГНОСТИКА дефицита витамина В 12 дома! Вставай прямо сейчас! #докторлиза #nikolife,2025-01-17T14:30:02Z
UgzlOk8NQyDKb4pPbBh4AaABAg,Интересно),2025-01-17T15:00:09Z,@КристинаЖуравлева-б3б,UCpU6gVvWGQI_lcq_id-gx9w,0,https://yt3.ggpht.com/ytc/AIdro_lxlt5LIVZm1cf52SdMP_29nGjXFyReZUwGMPElIYrNMw=s48-c-k-c0x00ffffff-no-rj,False,1,4K7kSQxVF6E,БЕСПЛАТНАЯ ДИАГНОСТИКА дефицита витамина В 12 дома! Вставай прямо сейчас! #докторлиза #nikolife,2025-01-17T14:30:02Z
Ugwlffj-IjVgXShtF0V4AaABAg,"Встал, постоял какать захотел",2025-01-17T14:35:22Z,@tra1nk,UC7JQwMWXIyAmF69bZysd2cg,0,https://yt3.ggpht.com/ytc/AIdro_l8MSnsvbZOXMskxKM7YjaR7-2PrP5UrMzfkSK2Dt4QhDnDAIsc-IQGj7SUvr1G2OFtwLA=s48-c-k-c0x00ffffff-no-rj,False,2,4K7kSQxVF6E,БЕСПЛАТНАЯ ДИАГНОСТИКА дефицита витамина В 12 дома! Вставай прямо сейчас! #докторлиза #nikolife,2025-01-17T14:30:02Z
UgwxUvNtS5viLoEqJ5h4AaABAg,А если Магне В 6? 2 в 1 так сказать,2024-08-10T07:27:04Z,@peace4528,UC7fEHHNBy6PMVdO0MOlIgyg,0,https://yt3.ggpht.com/XOwi9t0cKdAvEgp_dVfQjGxOJw0BC5zUcNGb66gU8UQ3kPirO_OHT5wLt8iiNdkeSVRyNSEcTA=s48-c-k-c0x00ffffff-no-rj,False,0,mywTeBYpre4,"Пей ЭТО, чтобы чувствовать себя лучше УЖЕ СЕЙЧАС! #докторлиза #nikolife #витамины",2024-08-09T13:30:33Z
